title,score,comments,link,comments_link,author,post_time,scraped_at,tags,lobsters_id,source_tag
The Clade folding text editor,42,6,https://tibleiz.net/clade/,https://lobste.rs/s/seniup,lorddimwit,2025-11-29 15:23:01-06:00,2025-11-30 18:36:47.187775,['editors'],seniup,hot
Oops! It's a kernel stack use-after-free: Exploiting NVIDIA's GPU Linux drivers,12,0,https://blog.quarkslab.com/nvidia_gpu_kernel_vmalloc_exploit.html,https://lobste.rs/s/dcifcp,pl,2025-11-30 02:47:51-06:00,2025-11-30 18:36:47.187776,"['c', 'linux', 'security']",dcifcp,hot
Antifragile Programming and Why AI Won’t Steal Your Job,2,1,https://lemire.me/blog/2025/11/29/antifragile-programming-and-why-ai-wont-steal-your-job/,https://lobste.rs/s/m536lr,cjoly,2025-11-30 07:06:37-06:00,2025-11-30 18:36:47.187779,['vibecoding'],m536lr,hot
Major AI conference flooded with peer reviews written fully by AI,17,6,https://www.nature.com/articles/d41586-025-03506-6,https://lobste.rs/s/ww6cfs,laktak,2025-11-29 13:45:04-06:00,2025-11-30 18:36:47.187780,['vibecoding'],ww6cfs,hot
Linux Kernel Explorer | reverser.dev,2,0,https://reverser.dev,https://lobste.rs/s/y9mdbc,df,2025-11-30 11:51:57-06:00,2025-11-30 18:36:47.187782,['linux'],y9mdbc,hot
pgFirstAid-The PostgreSQL Health Check Blog Post,9,0,https://randoneering.tech/blog/pgfirstaid/pgfirstaid/,https://lobste.rs/s/heciwa,randoneering,2025-11-29 18:39:59-06:00,2025-11-30 18:36:47.187783,['databases'],heciwa,hot
Schubfach: The smallest state-of-the-art double-to-string implementation,27,3,https://vitaut.net/posts/2025/smallest-dtoa/,https://lobste.rs/s/qtsdoi,fanf,2025-11-29 10:44:34-06:00,2025-11-30 18:36:47.187784,"['c++', 'math']",qtsdoi,hot
How good engineers write bad code at big companies,113,61,https://www.seangoedecke.com/bad-code-at-big-companies/,https://lobste.rs/s/jxppk7,veverkap,2025-11-28 16:02:57-06:00,2025-11-30 18:36:47.187786,['practices'],jxppk7,hot
System 7 natively boots on the Mac mini G4,22,3,https://macos9lives.com/smforum/index.php?topic=7711.0,https://lobste.rs/s/uxqquq,jjuran,2025-11-29 10:35:50-06:00,2025-11-30 18:36:47.187787,"['mac', 'retrocomputing']",uxqquq,hot
Airbus issues major A320 recall due to software issue,22,12,https://www.reuters.com/business/aerospace-defense/airbus-issues-major-a320-recall-after-flight-control-incident-2025-11-28/,https://lobste.rs/s/ehcqlu,intarga,2025-11-29 06:53:02-06:00,2025-11-30 18:36:47.187788,['programming'],ehcqlu,hot
Dotcom Survivor Syndrome – How Perl’s Early Success Created the Seeds of Its Downfall,1,0,https://perlhacks.com/2025/11/dotcom-survivor-syndrome-how-perls-early-success-created-the-seeds-of-its-downfall/,https://lobste.rs/s/nddsix,tomhukins,2025-11-30 11:50:05-06:00,2025-11-30 18:36:47.187790,"['historical', 'perl', 'practices']",nddsix,hot
interop and mathml core,1,0,https://conflor.es/blog/2025-11-27-interop-and-mathml/,https://lobste.rs/s/wepzub,isuffix,2025-11-30 11:01:27-06:00,2025-11-30 18:36:47.187791,"['math', 'web']",wepzub,hot
Setting a wallpaper with less than 250 Kb,14,7,https://www.lgfae.com/posts/2025-11-21-SettingAWallpaperWithLessThan250KB.html,https://lobste.rs/s/ycwei1,blu,2025-11-29 10:41:56-06:00,2025-11-30 18:36:47.187792,"['performance', 'rust']",ycwei1,hot
